BELTUSE_BIN	BAGDEPLOY_BIN	SEATPOS	DV_MPH	file_path	HIC15	T1_15	T2_15	HIC36	T1_36	T2_36	PEAK_LACC	PEAK_AACC	PEAK_LACC_g
0	0	11	5	data/minimal_simulations/5_mph/driver/nobelt/noairbag/madymo/madymo.peak	0.16858	115	130	0.35397	107	143	55.541	425.89	5.661671763506625
1	0	11	5	data/minimal_simulations/5_mph/driver/belt/noairbag/madymo/madymo.peak	0.48516	117	132	1.1176	107	143	55.541	425.89	5.661671763506625
0	1	11	5	data/minimal_simulations/5_mph/driver/nobelt/airbag/madymo/madymo.peak	0.23051	110	125	0.44937	102	138	55.541	425.89	5.661671763506625
1	1	11	5	data/minimal_simulations/5_mph/driver/belt/airbag/madymo/madymo.peak	1.2463	91	106	2.1976	87	123	60.738	425.89	6.191437308868501
0	0	13	5	data/minimal_simulations/5_mph/pass/nobelt/noairbag/madymo/madymo.peak	0.18474	125.1	140.1	0.36665	115.9	151.9	55.405	423.85	5.647808358817533
1	0	13	5	data/minimal_simulations/5_mph/pass/belt/noairbag/madymo/madymo.peak	1.0288	100.8	115.8	2.0558	94.1	130.1	55.405	423.85	5.647808358817533
0	1	13	5	data/minimal_simulations/5_mph/pass/nobelt/airbag/madymo/madymo.peak	0.20664	72.8	87.8	0.32702	108.7	144.7	55.405	592.02	5.647808358817533
1	1	13	5	data/minimal_simulations/5_mph/pass/belt/airbag/madymo/madymo.peak	0.7996	100.6	115.6	1.632	95.9	131.9	55.405	674.01	5.647808358817533
0	0	11	6	data/minimal_simulations/6_mph/driver/nobelt/noairbag/madymo/madymo.peak	0.2284	115	130	0.49621	104	140	55.541	425.89	5.661671763506625
1	0	11	6	data/minimal_simulations/6_mph/driver/belt/noairbag/madymo/madymo.peak	0.98274	107	122	2.1891	91	127	55.541	425.89	5.661671763506625
0	1	11	6	data/minimal_simulations/6_mph/driver/nobelt/airbag/madymo/madymo.peak	0.35562	119	134	0.80817	101	137	55.541	425.89	5.661671763506625
1	1	11	6	data/minimal_simulations/6_mph/driver/belt/airbag/madymo/madymo.peak	2.1607	89	104	3.711	83	119	75.671	425.89	7.713659531090724
0	0	13	6	data/minimal_simulations/6_mph/pass/nobelt/noairbag/madymo/madymo.peak	0.28127	121.8	136.8	0.57463	110.7	146.7	55.405	423.85	5.647808358817533
1	0	13	6	data/minimal_simulations/6_mph/pass/belt/noairbag/madymo/madymo.peak	1.9245	93.2	108.2	3.7972	88.6	124.6	69.097	423.85	7.043527013251783
0	1	13	6	data/minimal_simulations/6_mph/pass/nobelt/airbag/madymo/madymo.peak	0.43007	64.1	79.1	0.49796	63.6	83.9	55.405	819.12	5.647808358817533
1	1	13	6	data/minimal_simulations/6_mph/pass/belt/airbag/madymo/madymo.peak	1.4301	95.2	110.2	2.7407	90.4	126.4	62.8	882.7	6.401630988786952
0	0	11	7	data/minimal_simulations/7_mph/driver/nobelt/noairbag/madymo/madymo.peak	0.33153	116	131	0.70885	108	144	55.541	425.89	5.661671763506625
1	0	11	7	data/minimal_simulations/7_mph/driver/belt/noairbag/madymo/madymo.peak	2.1702	95	110	4.0672	86	122	74.717	425.89	7.616411824668705
0	1	11	7	data/minimal_simulations/7_mph/driver/nobelt/airbag/madymo/madymo.peak	0.71509	120	135	1.4994	105	141	55.541	425.89	5.661671763506625
1	1	11	7	data/minimal_simulations/7_mph/driver/belt/airbag/madymo/madymo.peak	3.4163	86	101	5.6505	82	118	91.034	425.89	9.279714576962284
0	0	13	7	data/minimal_simulations/7_mph/pass/nobelt/noairbag/madymo/madymo.peak	0.42155	119.9	134.9	0.87021	112.2	148.2	55.405	423.85	5.647808358817533
1	0	13	7	data/minimal_simulations/7_mph/pass/belt/noairbag/madymo/madymo.peak	3.503	89.2	104.2	6.0049	84.6	120.6	90.161	423.85	9.19072375127421
0	1	13	7	data/minimal_simulations/7_mph/pass/nobelt/airbag/madymo/madymo.peak	0.6057	62.7	77.7	0.64811	61.3	81.2	67.385	1049	6.86901121304791
1	1	13	7	data/minimal_simulations/7_mph/pass/belt/airbag/madymo/madymo.peak	2.3144	90.3	105.3	4.073	87.1	123.1	80.426	900.3	8.198369011213048
0	0	11	8	data/minimal_simulations/8_mph/driver/nobelt/noairbag/madymo/madymo.peak	0.51606	118	133	1.1216	109	145	55.541	425.89	5.661671763506625
1	0	11	8	data/minimal_simulations/8_mph/driver/belt/noairbag/madymo/madymo.peak	4.1016	89	104	7.3843	84	120	96.391	425.89	9.82579001019368
